en,kn
"If this is your first time contacting us or you've lost the ticket number, please ","ನೀವು ಮೊದಲ ಬಾರಿಗೆ ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸುತ್ತಿದ್ದರೆ ಅಥವಾ ನೀವು ಟಿಕೆಟ್ ಸಂಖ್ಯೆಯನ್ನು ಕಳೆದುಕೊಂಡಿದ್ದರೆ, ದಯವಿಟ್ಟು "
open a new ticket,ಹೊಸ ಟಿಕೆಟ್ ತೆರೆಯಿರಿ
How to contact Poshan Tracker Team?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ತಂಡವನ್ನು ಹೇಗೆ ಸಂಪರ್ಕಿಸುವುದು?
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,ಸ್ವಾಗತ! ಕೆಳಗೆ ನೀಡಲಾದ ಲಿಂಕ್ 
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”)."," ಮತ್ತು ಇದಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಎಲ್ಲ ಸೈಟ್ಗಳು, ಅವುಗಳ ಅಂಗಸಂಸ್ಥೆಗಳಲ್ಲಿ ನಿಮ್ಮ ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ಕೆಳಕಂಡ ಸೇವಾ ನಿಯಮಗಳಿಗೆ ಒಳಪಟ್ಟಿರುತ್ತದೆ (ಒಟ್ಟಾರೆಯಾಗಿ, ""ಸೈಟ್"")."
I. OWNERSHIP,I. ಮಾಲೀಕತ್ವ
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","ಸೈಟ್ ಮತ್ತು ಎಲ್ಲಾ ಡೇಟಾ, ಪಠ್ಯ, ವಿನ್ಯಾಸಗಳು, ಪುಟಗಳು, ಮುದ್ರಣ ಪರದೆಗಳು, ಚಿತ್ರಗಳು, ಕಲಾಕೃತಿಗಳು, ಛಾಯಾಚಿತ್ರಗಳು, ಆಡಿಯೊ ಮತ್ತು ವೀಡಿಯೊ ಕ್ಲಿಪ್‌ಗಳು, HTML ಕೋಡ್, ಮೂಲ ಕೋಡ್, ಅಥವಾ ಸೈಟ್‌ನಲ್ಲಿ ಇರುವ ಅಥವಾ ವೀಕ್ಷಿಸಬಹುದಾದ ಅಥವಾ ಹುಡುಕಬಹುದಾದ ಸಾಫ್ಟ್‌ವೇರ್, ಮತ್ತು ಸೈಟ್ ಮೂಲಕ ಬುಕ್ ಮಾಡಲಾದ ಎಲ್ಲಾ ಭಾಗಿದಾರರು (ಒಟ್ಟಾರೆಯಾಗಿ, ""ಪರಿವಿಡಿ"" ಎಂದು ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ) ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯ ಮತ್ತು ಅವರ ಅಧಿಕೃತ ಸೇವಾ ಪೂರೈಕೆದಾರರ ಒಡೆತನದಲ್ಲಿದೆ."
II. CONSENT,II. ಒಪ್ಪಿಗೆ
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","ಈ ನಿಯಮಗಳು ನಮ್ಮ ಗೌಪ್ಯತಾ ನೀತಿ, ಓಪನ್ API ನೀತಿ ಮತ್ತು ಸೈಟ್‌ನಲ್ಲಿನ ವಿಶೇಷ ಕೊಡುಗೆಗಳು ಅಥವಾ ವೈಶಿಷ್ಟ್ಯಗಳಿಗೆ ಅನ್ವಯಿಸಬಹುದಾದ ಯಾವುದೇ ಇತರ ನೀತಿಗಳು, ನಿಯಮಗಳು ಅಥವಾ ಮಾರ್ಗಸೂಚಿಗಳನ್ನು ಒಳಗೊಂಡಿವೆ. ಸೈಟ್‌ಗೆ ಭೇಟಿ ನೀಡುವ ಮೂಲಕ ಅಥವಾ ಬಳಸುವ ಮೂಲಕ, ಕಾಲಕಾಲಕ್ಕೆ ನವೀಕರಿಸಿದ ಈ ನಿಯಮಗಳನ್ನು ನೀವು ಸ್ಪಷ್ಟವಾಗಿ ಒಪ್ಪುತ್ತೀರಿ."
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.","ಈ ನಿಯಮಗಳ ಯಾವುದೇ ಭಾಗವನ್ನು ನೀವು ಒಪ್ಪದಿದ್ದರೆ, ಸೈಟ್ ಅನ್ನು ಬಳಸಬೇಡಿ. ಬೈಂಡಿಂಗ್ ಒಪ್ಪಂದವನ್ನು ರೂಪಿಸಲು ನೀವು ಕಾನೂನುಬದ್ಧ ವಯಸ್ಸನ್ನು ಹೊಂದಿಲ್ಲದಿದ್ದರೆ, ನೀವು ಯಾವುದೇ ರೀತಿಯಲ್ಲಿ ಸೈಟ್ ಅನ್ನು ಬಳಸಬಾರದು ಮತ್ತು ನಿಯಮಗಳನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಬಾರದು."
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,III. ನಿಯಮಗಳ ಭವಿಷ್ಯದ ಬದಲಾವಣೆಗಳ ಬಗ್ಗೆ ಮಾಹಿತಿ:
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You take the responsibility to check these Terms of Use periodically for changes. Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.","ನಿಮಗೆ ನಿರ್ದಿಷ್ಟವಾಗಿ ಸೂಚಿಸದೆ ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಈ ನಿಯಮಗಳ ಯಾವುದೇ ಭಾಗವನ್ನು ಬದಲಾಯಿಸಲು, ಮಾರ್ಪಡಿಸಲು, ಸೇರಿಸಲು ಅಥವಾ ತೆಗೆದುಹಾಕಲು ನಾವು ಬೇಷರತ್ತಾದ ಹಕ್ಕನ್ನು ನಾವು ಕಾಯ್ದಿರಿಸಿದ್ದೇವೆ. ಯಾವುದೇ ಬದಲಾವಣೆಗಳು ಅಥವಾ ನವೀಕರಣಗಳು ತಕ್ಷಣವೇ ಜಾರಿಗೆ ಬರುತ್ತವೆ. ಬದಲಾವಣೆಗಳಿಗಾಗಿ ನಿಯತಕಾಲಿಕವಾಗಿ ಈ ಬಳಕೆಯ ನಿಯಮಗಳನ್ನು ಪರಿಶೀಲಿಸುವ ಜವಾಬ್ದಾರಿಯನ್ನು ನೀವು ಕೈಗೊಳ್ಳುತ್ತೀರಿ. ಮಾರ್ಪಾಡಿನ ನಂತರ ಪ್ಲಾಟ್‌ಫಾರ್ಮ್‌ನ ನಿಮ್ಮ ಮುಂದುವರಿದ ಬಳಕೆಯು ತಿದ್ದುಪಡಿ ಮಾಡಿದ ನಿಯಮಗಳ ಒಪ್ಪಿಗೆಯನ್ನು ಸೂಚಿಸುತ್ತದೆ."
IV. ACCOUNT REGISTRATION,IV. ಖಾತೆ ನೋಂದಣಿ
"You may browse the Site without registering for an account. You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","ಖಾತೆಗಾಗಿ ನೋಂದಾಯಿಸದೆಯೇ ನೀವು ಸೈಟ್ ಅನ್ನು ಬ್ರೌಸ್ ಮಾಡಬಹುದು. ಸೈಟ್ ಒದಗಿಸಿದ ಕೆಲವು ವೈಶಿಷ್ಟ್ಯಗಳು ಅಥವಾ ಸೇವೆಗಳನ್ನು ಬಳಸಲು ನೀವು ಬಯಸಿದರೆ, ನಿಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯೊಂದಿಗೆ ಖಾತೆಗಾಗಿ ನೀವು ನೋಂದಾಯಿಸಿಕೊಳ್ಳಬೇಕು."
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","ಈ ನಿಯಮಗಳನ್ನು ಒಪ್ಪಿಕೊಳ್ಳುವ ಮೂಲಕ, ನಿಮ್ಮ ಗುರುತಿನ ಮಾಹಿತಿಯನ್ನು (ಆಧಾರ್ ವಿವರಗಳನ್ನು ಒಳಗೊಂಡಂತೆ) ಮತ್ತು ನಿಮ್ಮ ಖಾತೆಯೊಂದಿಗೆ ನೋಂದಾಯಿಸಲಾದ ಇತರ ಎಲ್ಲ ಸದಸ್ಯರನ್ನು ಪ್ರವೇಶಿಸಲು ನಮಗೆ ಅಧಿಕಾರ ನೀಡಲು ನೀವು ಸ್ಪಷ್ಟವಾಗಿ ಒಪ್ಪುತ್ತೀರಿ."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure. Your registration or mobile number shall be kept confidential,ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯ ಮತ್ತು ಈ ಈವೆಂಟ್‌ಗಾಗಿ ರಚಿಸಿರುವ ನೋಂದಣಿ ವಿವರಗಳ ಗೌಪ್ಯತೆಯನ್ನು ಕಾಯ್ದುಕೊಳ್ಳಲು ಮತ್ತು ಈ ಮಾಹಿತಿಯನ್ನು ಸುರಕ್ಷಿತವಾಗಿ ಇರಿಸಿಕೊಳ್ಳಲು ವಿಫಲವಾಗುವುದರಿಂದ ಉದ್ಭವಿಸಬಹುದಾದ ಎಲ್ಲ ಚಟುವಟಿಕೆಗಳಿಗೆ ನೀವೇ ಹೊಣೆಗಾರರಾಗಿರುತ್ತೀರಿ. ನಿಮ್ಮ ನೋಂದಣಿ ಅಥವಾ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಗೌಪ್ಯವಾಗಿ ಇರಿಸಲಾಗುತ್ತದೆ
You undertake that:,ನೀವು ಕೆಳಕಂಡ ವ್ಯಾಖ್ಯಾನಗಳಿಗೆ ಭರವಸೆ ನೀಡುತ್ತಿರಿ:
You have obtained consent from the concerned individuals for creating their records through your account.,ನಿಮ್ಮ ಖಾತೆಯ ಮೂಲಕ ಇನ್ನೊಬ್ಬರ ದಾಖಲೆಗಳನ್ನು ರಚಿಸಲು ಸಂಬಂಧಿಸಿದ ವ್ಯಕ್ತಿಗಳಿಂದ ನೀವು ಒಪ್ಪಿಗೆಯನ್ನು ಪಡೆದಿದ್ದೀರಿ.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,ನಿಮ್ಮ ಖಾತೆ ಅಥವಾ ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಇನ್ನೊಬ್ಬ ವ್ಯಕ್ತಿಯ ಎಂದು ನಟಿಸುವ ಉದ್ದೇಶದಿಂದ ಬೇರೆ ಯಾವುದೇ ವ್ಯಕ್ತಿಯ ಹೆಸರನ್ನು ಹೊಂದಿರಬಾರದು.
You shall not use another user's account without their permission.,ನೀವು ಇನ್ನೊಬ್ಬ ಬಳಕೆದಾರರ ಖಾತೆಯನ್ನು ಅವರ ಅನುಮತಿಯಿಲ್ಲದೆ ಬಳಸುವುದಿಲ್ಲ.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach. If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","ನಿಮ್ಮ ಖಾತೆಯ ಯಾವುದೇ ಅನಧಿಕೃತ ಬಳಕೆ ಅಥವಾ ಇತರ ಖಾತೆ-ಸಂಬಂಧಿತ ಭದ್ರತಾ ಉಲ್ಲಂಘನೆಯನ್ನು ನೀವು ಕಂಡುಕೊಂಡರೆ, ನೀವು ತಕ್ಷಣ ನಮಗೆ ಲಿಖಿತವಾಗಿ ತಿಳಿಸುವಿರಿ. ನಿಮ್ಮ ಖಾತೆ ಬೇರೆಯವರ ಹಕ್ಕುಗಳನ್ನು ಉಲ್ಲಂಘಿಸುತ್ತಿದೆ ಅಥವಾ ನಮ್ಮ ನೀತಿಗಳನ್ನು ಉಲ್ಲಂಘಿಸುತ್ತಿದೆ ಎಂಬ ದೂರನ್ನು ನಾವು ಸ್ವೀಕರಿಸಿದರೆ, ನಾವು ನಿಮ್ಮ ಖಾತೆಯನ್ನು ರದ್ದುಗೊಳಿಸಬಹುದು ಅಥವಾ ನಿರ್ಬಂಧಿಸಬಹುದು."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",ಬಹು ಇಂಟರ್ನೆಟ್ ಪ್ರೋಟೋಕಾಲ್ ವಿಳಾಸಗಳು ಅಥವಾ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಗಳನ್ನು ಬಳಸುವ ಮೂಲಕ ಅಥವಾ ಸೈಟ್‌ನಲ್ಲಿ ಭಾಗವಹಿಸುವವರನ್ನು ನೋಂದಾಯಿಸಲು ಯಾವುದೇ ಇತರ ವಿಧಾನಗಳ ಮೂಲಕ ನಿಮ್ಮ ಗುರುತನ್ನು ಮರೆಮಾಡಲು ನೀವು ಪ್ರಯತ್ನಿಸುವುದಿಲ್ಲ
V. ACCESS PERMISSIONS,V. ಪ್ರವೇಶದ ಅನುಮತಿಗಳು
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,ನೀವು ದಾಖಲೆಯಲ್ಲಿ ವಿವರಿಸಿದ ವಿಧಾನಗಳ ಮೂಲಕ ಮಾತ್ರ ಸೈಟ್ ಅನ್ನು ಪ್ರವೇಶಿಸುತ್ತೀರಿ (ಅಥವಾ ಪ್ರವೇಶಿಸಲು ಪ್ರಯತ್ನಿಸುತ್ತೀರಿ) ಮತ್ತು ಈ ಒಪ್ಪಂದದ ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳನ್ನು ಅನುಸರಿಸುತ್ತೀರಿ.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","ನಿಮಗೆ ಮತ್ತು ನಿಮ್ಮ ಸೈಟ್‌ನ ಬಳಕೆಗೆ ಅನ್ವಯಿಸುವ ಮತ್ತು ಯಾವುದೇ ಥರ್ಡ್ ಪಾರ್ಟಿ ಹಕ್ಕುಗಳ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುವ ಎಲ್ಲಾ ಕೇಂದ್ರ ಮತ್ತು ರಾಜ್ಯ ಕಾನೂನುಗಳು, ನಿಯಮಗಳು ಮತ್ತು ನಿಬಂಧನೆಗಳನ್ನು ನೀವು ಅನುಸರಿಸುತ್ತೀರಿ."
VI. ACCESS RESTRICTIONS,VI. ಪ್ರವೇಶ ನಿರ್ಬಂಧಗಳು
"You shall not, either on your own or through any other person:",ನೀವೇ ಅಥವಾ ಬೇರೆ ಯಾವುದೇ ವ್ಯಕ್ತಿಯ ಮೂಲಕ ನೀವು ಮಾಡಬಾರದು:
Restrict or inhibit any other person from using the Site,ಸೈಟ್ ಅನ್ನು ಬಳಸದಂತೆ ಬೇರೊಬ್ಬರನ್ನು ನಿರ್ಬಂಧಿಸಬಾರದು ಅಥವಾ ತಡೆಯಬಾರದು
Use the Site for any unlawful purpose,ಯಾವುದೇ ಅಕ್ರಮ ಉದ್ದೇಶಕ್ಕಾಗಿ ಸೈಟ್ ಅನ್ನು ಬಳಸಬಾರದು
"Express or imply that any statements you make are endorsed by us, without our prior written consent",ನಮ್ಮ ಪೂರ್ವ ಲಿಖಿತ ಒಪ್ಪಿಗೆಯಿಲ್ಲದೆ ನೀವು ಮಾಡಿದ ಯಾವುದೇ ಹೇಳಿಕೆಯನ್ನು ನಾವು ಬೆಂಬಲಿಸುತ್ತೇವೆ ಎಂದು ವ್ಯಕ್ತಪಡಿಸಬೇಕು ಅಥವಾ ಸೂಚಿಸಬೇಕು
"Impersonate any person or entity, whether actual or fictitious",ನೈಜ ಅಥವಾ ಕಾಲ್ಪನಿಕವಾದ ಯಾವುದೇ ವ್ಯಕ್ತಿ ಅಥವಾ ಅಸ್ತಿತ್ವದ ಗುರುತು ಪಡೆಯಬಾರದು
Engage in spamming or flooding,ಸ್ಪ್ಯಾಮಿಂಗ್ ಅಥವಾ ಫ್ಲಡಿಂಗ್ ನಲ್ಲಿ ತೊಡಗಿಸಿಕೊಳ್ಳಬಾರದು
Harvest or collect information about Site users,ಸೈಟ್ ಬಳಕೆದಾರರ ಬಗ್ಗೆ ಮಾಹಿತಿಯನ್ನು ಸ್ವೀಕರಿಸಬಾರದು ಅಥವಾ ಸಂಗ್ರಹಿಸಬಾರದು
Open multiple accounts for yourself or any other individual using multiple mobile numbers,ಬಹು ಮೊಬೈಲ್ ಸಂಖ್ಯೆಗಳನ್ನು ಬಳಸಿಕೊಂಡು ನಿಮಗಾಗಿ ಅಥವಾ ಬೇರೆಯವರಿಗೆ ಬಹು ಖಾತೆಗಳನ್ನು ತೆರೆಯಬಾರದು
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature","ಯಾವುದೇ ವೈರಸ್‌ಗಳು, ವರ್ಮ್‌ಗಳು, ಟ್ರೋಜನ್ ಹಾರ್ಸ್‌ಗಳು, ದೋಷಗಳು, ಡೇಟ್ ಬಾಂಬ್‌ಗಳು, ಟೈಮ್ ಬಾಂಬ್‌ಗಳು ಅಥವಾ ವಿನಾಶಕಾರಿ ಸ್ವಭಾವದ ಇತರ ವಸ್ತುಗಳನ್ನು ಒಳಗೊಂಡಿರುವ ಯಾವುದೇ ಸಾಫ್ಟ್‌ವೇರ್ ಅಥವಾ ಇತರ ವಸ್ತುಗಳನ್ನು ಸಲ್ಲಿಸಬಾರದು"
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit",ನೀವು ಸಲ್ಲಿಸುವ ಯಾವುದೇ ಪೋಸ್ಟಿಂಗ್‌ಗಳ ಮೂಲವನ್ನು ಮರೆಮಾಡಲು ಹೆಡರ್‌ಗಳನ್ನು ನಕಲಿಸುವುದು ಸೇರಿದಂತೆ ಗುರುತಿಸುವಿಕೆಗಳನ್ನು ಮ್ಯಾನಿಪುಲೇಟ್ ಮಾಡಬಾರದು
Link to any portion of the Site other than the URL assigned to the home page of the Site,ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ URL ಹೊರತುಪಡಿಸಿ ಸೈಟ್‌ನ ಯಾವುದೇ ಭಾಗಕ್ಕೆ ಸೈಟ್‌ನ ಮುಖಪುಟವನ್ನು ಲಿಂಕ್ ಮಾಡಬಾರದು
“Frame” or “Mirror” any part of the Site,ಸೈಟ್‌ನ ಯಾವುದೇ ಭಾಗವನ್ನು ನಕಲಿ ಮಾಡಬಾರದು
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content","ಸೈಟ್‌ನ ಯಾವುದೇ ಭಾಗದ ಆಧಾರವಾಗಿರುವ ವಿಚಾರಗಳು ಅಥವಾ ವಿಷಯದ ಯಾವುದೇ ಭಾಗದಿಂದ ಯಾವುದೇ ಮೂಲ ಕೋಡ್ ಅಥವಾ ಅಲ್ಗಾರಿದಮ್‌ಗಳನ್ನು ಮಾರ್ಪಡಿಸಲು, ಹೊಂದಿಕೊಳ್ಳಲು, ಉಪ-ಪರವಾನಗಿ, ಅನುವಾದಿಸಲು, ಮಾರಾಟ ಮಾಡಲು, ರಿವರ್ಸ್ ಎಂಜಿನಿಯರ್ ಮಾಡಲು, ಡಿಕಂಪೈಲ್ ಮಾಡಲು ಅಥವಾ ಡಿಸ್ಅಸೆಂಬಲ್ ಮಾಡಲು ಪ್ರಯತ್ನಿಸಬಾರದು"
"Remove any copyright, trademark or other proprietary rights notices contained on the Site","ಸೈಟ್‌ನಲ್ಲಿರುವ ಯಾವುದೇ ಹಕ್ಕುಸ್ವಾಮ್ಯ, ಟ್ರೇಡ್‌ಮಾರ್ಕ್ ಅಥವಾ ಇತರ ಸ್ವಾಮ್ಯದ ಹಕ್ಕುಗಳ ಸೂಚನೆಗಳನ್ನು ತೆಗೆದುಹಾಕಬಾರದು"
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.","ಯಾವುದೇ ಕಂಪ್ಯೂಟರ್ ಪ್ರೋಗ್ರಾಂ, ಬೋಟ್, ರೋಬೋಟ್, ಸ್ಪೈಡರ್, ಆಫ್‌ಲೈನ್ ರೀಡರ್, ಸೈಟ್ ಹುಡುಕಾಟ/ಮರುಪಡೆಯುವಿಕೆ ಅಪ್ಲಿಕೇಶನ್ ಅಥವಾ ಇತರ ಕೈಪಿಡಿ ಅಥವಾ ಸ್ವಯಂಚಾಲಿತ ಸಾಧನ, ಸಾಧನ, ಅಥವಾ ಪ್ರಕ್ರಿಯೆ ಹಿಂಪಡೆಯಲು, ಸೂಚ್ಯಂಕ, ಗಣಿ ಡೇಟಾ, ಅಥವಾ ಯಾವುದೇ ರೀತಿಯಲ್ಲಿ ಭದ್ರತಾ ಮೂಲಸೌಕರ್ಯವನ್ನು ಹಿಂಪಡೆಯಲು, ನ್ಯಾವಿಗೇಷನಲ್: ಬಳಸಿ ಸೈಟ್‌ನಲ್ಲಿ ಪ್ರದರ್ಶಿಸಲಾದ ಯಾವುದೇ CAPTCHA ಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಸೈಟ್‌ನ ವಿಷಯ ಅಥವಾ ರಚನೆಯನ್ನು ಅಥವಾ ಪ್ರಸ್ತುತಿಯನ್ನು ರಚಿಸಬಾರದು ಅಥವಾ ಅಡ್ಡಿಪಡಿಸಬಾರದು."
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,ಅಂತಹ ಸಾಫ್ಟ್‌ವೇರ್ ಅಥವಾ ಸಿಸ್ಟಮ್ ಸಕ್ರಿಯವಾಗಿರುವ ನಿಮ್ಮ ಕಂಪ್ಯೂಟರ್‌ನಿಂದ ಮಾಹಿತಿಯನ್ನು ಕಳುಹಿಸುವುದು ಸೇರಿದಂತೆ ಹುಡುಕಲು ಅಥವಾ ಬುಕ್ ಮಾಡಲು ಯಾವುದೇ ಸ್ವಯಂಚಾಲಿತ ಸಾಫ್ಟ್‌ವೇರ್ ಅಥವಾ ಕಂಪ್ಯೂಟರ್ ಸಿಸ್ಟಮ್ ಅನ್ನು ಬಳಸಬಾರದು
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,ನಮ್ಮ ಮೂಲಸೌಕರ್ಯದ ಮೇಲೆ ಅಸಮಂಜಸವಾದ ಅಥವಾ ಅಸಮಾನವಾಗಿ ದೊಡ್ಡ ಹೊರೆ (ನಮ್ಮ ಸ್ವಂತ ವಿವೇಚನೆಯಲ್ಲಿ) ಹೇರುವ ಅಥವಾ ಹೇರುವ ಯಾವುದೇ ಕ್ರಮವನ್ನು ತೆಗೆದುಕೊಳ್ಳಬಾರದು.
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the Content","ಸೈಟ್ ಅನ್ನು ಬಳಸಬಾರದು ಅಥವಾ ಸೈಟ್ ಅಥವಾ ವಿಷಯದ ಪುನರುತ್ಪಾದನೆ, ಮಾರ್ಪಡಿಸುವಿಕೆ, ಪ್ರದರ್ಶನ, ಸಾರ್ವಜನಿಕವಾಗಿ ನಿರ್ವಹಣೆ, ವಿತರಣೆ ಅಥವಾ ರಚನೆ ಮಾಡಬಾರದು"
"The Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purpose","ಯಾವುದೇ ಸಾಧನ, ಪ್ರೋಗ್ರಾಂ ಅಥವಾ ಸೇವೆಯನ್ನು ತಡೆಯಲು ಅಥವಾ ಅದರೊಂದಿಗೆ ಸಂಯೋಜಿತವಾಗಿ, ಯಾವುದೇ ರೀತಿಯಲ್ಲಿ ಮಿತಿಯಿಲ್ಲದೆ, ಪ್ರವೇಶ, ಅಥವಾ ಹಕ್ಕುಗಳು, ಸೈಟ್ ಮತ್ತು/ಅಥವಾ ವಿಷಯವನ್ನು ಪರಿಣಾಮಕಾರಿಯಾಗಿ ನಿಯಂತ್ರಿಸುತ್ತದೆ. ಹಸ್ತಚಾಲಿತವಾಗಿ ಡೀಕೋಡ್ ಮಾಡಿ, ಡೀಕ್ರಿಪ್ಟ್ ಮಾಡಿ, ಮಾರ್ಪಡಿಸಿ ಅಥವಾ ರಿವರ್ಸ್ ಎಂಜಿನಿಯರ್ ಪ್ರಮಾಣಪತ್ರಗಳು ಅಥವಾ ಆಧಾರವಾಗಿರುವ ಅಲ್ಗಾರಿದಮ್‌ಗಳು ಅಥವಾ ಸ್ವಯಂಚಾಲಿತ ಸಾಧನಗಳು ಅಥವಾ ಪ್ರಕ್ರಿಯೆಗಳನ್ನು ಯಾವುದೇ ಉದ್ದೇಶಕ್ಕಾಗಿ ಮಾಡಬಾರದು"
