en,mr
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,तुम्ही केवळ दस्तऐवजात वर्णन केलेल्या माध्यमांद्वारे साइटवर प्रवेश कराल (किंवा प्रवेश करण्याचा प्रयत्न कराल) आणि या कराराच्या अटी व शर्तींचे पालन कराल.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","तुम्ही सर्व केंद्रीय आणि राज्य कायदे, तुम्हाला लागू होणार्‍या आणि साइटच्या तुमच्या वापरावर आणि कोणत्याही तृतीय-पक्षाच्या अधिकारांवर परिणाम करणारे नियम आणि नियमांचे पालन कराल."
VI. ACCESS RESTRICTIONS,VI. ्रवेश निर्बंध
"You shall not, either on your own or through any other person:",ुम्ही स्वतःहून किंवा इतर कोणत्याही व्यक्तीद्वारे हे करू नये:
Restrict or inhibit any other person from using the Site,साइट वापरण्यापासून इतर कोणत्याही व्यक्तीस प्रतिबंधित किंवा प्रतिबंधित करा
Use the Site for any unlawful purpose,कोणत्याही बेकायदेशीर हेतूसाठी साइट वापरा
"Express or imply that any statements you make are endorsed by us, without our prior written consent",आमच्या पूर्व लेखी संमतीशिवाय तुम्ही केलेल्या कोणत्याही विधानाला आम्ही मान्यता दिली आहे असे व्यक्त करा किंवा सूचित करा
"Impersonate any person or entity, whether actual or fictitious","वास्तविक किंवा काल्पनिक असो, कोणत्याही व्यक्तीची किंवा घटकाची तोतयागिरी करा"
Engage in spamming or flooding,स्पॅमिंग किंवा फ्लडिंगमध्ये व्यस्त रहा
Harvest or collect information about Site users,साइट वापरकर्त्यांबद्दल माहिती काढा किंवा गोळा करा
Open multiple accounts for yourself or any other individual using multiple mobile numbers,एकाधिक मोबाईल नंबर वापरून स्वतःसाठी किंवा इतर कोणत्याही व्यक्तीसाठी एकाधिक खाती उघडा
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature","कोणतेही सॉफ्टवेअर किंवा इतर साहित्य सबमिट करा ज्यामध्ये कोणतेही व्हायरस, वर्म्स, ट्रोजन हॉर्स, दोष, डेट बॉम्ब, टाइम बॉम्ब किंवा विध्वंसक स्वरूपाच्या इतर वस्तू आहेत"
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit","तुम्ही सबमिट केलेल्या कोणत्याही पोस्टिंगचे मूळ शोधण्यासाठी, बनावट शीर्षलेखांसह अभिज्ञापक हाताळा"
Link to any portion of the Site other than the URL assigned to the home page of the Site,साइटच्या होम पेजवर नियुक्त केलेल्या यूआरएल व्यतिरिक्त साइटच्या कोणत्याही भागाशी लिंक करा
“Frame” or “Mirror” any part of the Site,साइटचा कोणताही भाग “फ्रेम” किंवा “मिरर”
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content","साइटचा कोणताही भाग सुधारणे, जुळवून घेणे, उप-परवाना, भाषांतर करणे, विक्री करणे, उलट अभियंता करणे, विघटित करणे किंवा वेगळे करणे किंवा अन्यथा सामग्रीच्या कोणत्याही भागाचा कोणताही स्त्रोत कोड किंवा अंतर्निहित कल्पना किंवा अल्गोरिदम मिळविण्याचा प्रयत्न करणे"
"Remove any copyright, trademark or other proprietary rights notices contained on the Site","साइटवर असलेले कोणतेही कॉपीराइट, ट्रेडमार्क किंवा इतर मालकी हक्क सूचना काढून टाका"
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.","कोणताही संगणक प्रोग्राम, बॉट, रोबोट, स्पायडर, ऑफलाइन रीडर, साइट शोध/पुनर्प्राप्ती ऍप्लिकेशन किंवा इतर मॅन्युअल किंवा स्वयंचलित डिव्हाइस, टूल किंवा प्रक्रिया पुनर्प्राप्त करण्यासाठी, अनुक्रमणिका, डेटा माइन किंवा कोणत्याही प्रकारे सुरक्षा संरचना, नेव्हिगेशनल पुनरुत्पादन किंवा धोक्यात आणण्यासाठी वापरा. साइटवर प्रदर्शित केलेल्या कोणत्याही कॅप्चाच्या संदर्भात सामग्री किंवा साइटची रचना, किंवा सादरीकरण."
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,शोधण्यासाठी किंवा अपॉईंटमेंट बुक करण्यासाठी कोणतेही स्वयंचलित सॉफ्टवेअर किंवा संगणक प्रणाली वापरा ज्यामध्ये असे सॉफ्टवेअर किंवा सिस्टम सक्रिय आहे अशा दुसऱ्या संगणकावर तुमच्या संगणकावरून माहिती पाठवणे समाविष्ट आहे
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,आमच्या पायाभूत सुविधांवर (आमच्या विवेकबुद्धीनुसार) अवाजवी किंवा असमानतेने मोठा भार लादणारी किंवा लादणारी कोणतीही कृती करा.
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the Content","साइट वापरा किंवा साइट किंवा सामग्रीचे पुनरुत्पादन, सुधारणे, प्रदर्शित करणे, सार्वजनिकरित्या कार्य करणे, वितरित करणे किंवा व्युत्पन्न कार्य तयार करणे"
"The Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purpose","साईट आणि/किंवा सामग्रीमध्ये प्रवेश, किंवा अधिकारांवर प्रभावीपणे नियंत्रण ठेवणाऱ्या कोणत्याही तांत्रिक उपायांना रोखण्यासाठी डिझाइन केलेले कोणतेही उपकरण, प्रोग्राम किंवा सेवेच्या प्रयत्नात किंवा संयोगाने सामग्री कोणत्याही हेतूसाठी मॅन्युअल डीकोड, डिक्रिप्ट, सुधारित किंवा उलट अभियंता प्रमाणपत्र किंवा अंतर्निहित अल्गोरिदम किंवा स्वयंचलित उपकरण किंवा प्रक्रिया"
"You will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","साइटद्वारे सहभागींची नोंदणी करण्यासाठी तुम्ही बॉट तंत्रज्ञानाचा वापर करणार नाही; शंका टाळण्यासाठी, हे विशेषत: तुम्हाला साइटवर स्वयंचलित स्क्रिप्ट आधारित किंवा स्वयंचलित सॉफ्टवेअर वापरण्यापासून प्रतिबंधित करते आणि तुम्हाला कोणत्याही सुरक्षा उपाय, प्रवेश नियंत्रण प्रणाली, किंवा साइटवरील इतर तांत्रिक नियंत्रण किंवा मापन टाळण्यापासून प्रतिबंधित करते ज्याचा वापर सहभागाची अंमलबजावणी करण्यासाठी केला जातो. मर्यादित किंवा एका मोबाइल नंबरशी संबंधित सहभागींच्या नियमांची अखंडता राखण्यासाठी"
VII. INTELLECTUAL PROPERTY RIGHTS,VII. बौद्धिक मालमत्ता अधिकार
We own the intellectual property rights in the Site and Content. We may change the Content and features of the Site at any time.,आमच्याकडे साइट आणि सामग्रीमधील बौद्धिक संपदा अधिकार आहेत. आम्ही साइटची सामग्री आणि वैशिष्ट्ये कधीही बदलू शकतो.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors. You may not use our trademarks, logos, and service marks in any way without our prior written permission.","साइटवर प्रदर्शित केलेले नोंदणीकृत आणि अनोंदणीकृत ट्रेडमार्क, लोगो आणि सेवा चिन्ह आमच्या किंवा आमच्या परवानाधारकांच्या मालकीचे आहेत. तुम्ही आमचे ट्रेडमार्क, लोगो आणि सेवा चिन्ह कोणत्याही प्रकारे ओ शिवाय वापरू शकत नाही."
"Material featured on this website may be reproduced free of charge. However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","या वेबसाइटवर वैशिष्ट्यीकृत सामग्री विनामूल्य पुनरुत्पादित केली जाऊ शकते. तथापि, साइटचा कोणताही भाग आणि कोणतीही सामग्री कॉपी, पुनर्प्रकाशित, पुनरुत्पादित, अपलोड, पोस्ट, सार्वजनिकरित्या प्रदर्शित, एन्कोड, अनुवादित, प्रसारित किंवा इतर कोणत्याही संगणकावर, सर्व्हरवर, वेब साइटवर किंवा प्रकाशनासाठी इतर माध्यमांवर कोणत्याही प्रकारे वितरित केली जाऊ शकत नाही. अपमानास्पद रीतीने किंवा दिशाभूल करणाऱ्या संदर्भात."
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","तुम्ही साइटवर उपलब्ध असलेल्या माहितीचा वापर करू शकता, जर तुम्ही (1) अशी माहिती केवळ तुमच्या वैयक्तिक, गैर-व्यावसायिक माहितीच्या उद्देशाने वापराल आणि अशी माहिती कोणत्याही नेटवर्क संगणकावर कॉपी किंवा पोस्ट करू नका किंवा ती कोणत्याही मीडियामध्ये प्रसारित करू नका, (2) अशा कोणत्याही माहितीमध्ये आणि अशा दस्तऐवज आणि सामग्रीशी संबंधित कोणतेही अतिरिक्त प्रतिनिधित्व किंवा वॉरंटीमध्ये कोणतेही बदल करू नका."
"Wherever the material is being published or issued to others, the source must be prominently acknowledged. However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","जेथे सामग्री प्रकाशित केली जात आहे किंवा इतरांना जारी केली जात आहे, तेथे स्त्रोत ठळकपणे मान्य करणे आवश्यक आहे. तथापि, या सामग्रीचे पुनरुत्पादन करण्याची परवानगी तृतीय पक्षाचा कॉपीराइट म्हणून ओळखल्या जाणार्‍या कोणत्याही सामग्रीपर्यंत विस्तारित होणार नाही."
VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,VIII. बहु-भाषिक इंटरफेसच्या मर्यादा
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators. While the translations are done on a best effort basis, some of the parts may be incorrect. Certain files and other items on the website cannot be translated. In addition, on translation, some applications and/or services may not function as expected, due to language barriers. We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","पोषण ट्रॅकर पोर्टल आणि ॲप चॅबॉट वरील भाषांतर तृतीय पक्ष अनुवादकाद्वारे केले जाते. भाषांतरे सर्वोत्कृष्ट प्रयत्नांच्या आधारावर केली जात असली तरी काही भाग चुकीचे असू शकतात. वेबसाइटवरील काही फाइल्स आणि इतर गोष्टींचे भाषांतर केले जाऊ शकत नाही. याव्यतिरिक्त, भाषांतरावर, भाषेच्या अडथळ्यांमुळे काही अनुप्रयोग आणि/किंवा सेवा अपेक्षेप्रमाणे कार्य करू शकत नाहीत. या पोर्टलवर प्रदान केलेल्या भाषांतरांमधील कोणत्याही त्रुटी, चूक किंवा अस्पष्टता सुधारण्यासाठी आम्ही सतत काम करत आहोत."
IX. LINKS,IX. लिंक्स
"The Site may contain links to other websites that may not be owned, maintained, or operated by us. The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites. We are not responsible for these websites including any content or the privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and peril. It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","साइटमध्ये इतर वेबसाइट्सचे लिंक्स असू शकतात ज्या कदाचित आमच्या मालकीच्या, देखरेखीच्या किंवा आमच्याद्वारे चालवल्या जाणार नाहीत. या वेबसाइट्स लिंक्ड़ आहेत हे तथ्य, आमच्याकडून या वेबसाइट्सचे कोणतेही समर्थन सूचित करत नाही, कारण या वेबसाइट्सवर आमचे कोणतेही नियंत्रण आहे. आम्ही या वेबसाइट्ससाठी कोणतीही सामग्री किंवा या वेबसाइट्सच्या गोपनीयता पद्धतींसह जबाबदार नाही. या वेबसाइट्सच्या वापराच्या अटींशी परिचित होण्यासाठी आम्ही तुम्हाला जोरदार प्रोत्साहन देतो. या वेबसाइट्सचा तुमचा वापर तुमच्या स्वतःच्या जोखमीवर आणि धोक्यात आहे. तुम्ही निवडलेल्या लिंक्स किंवा तुम्ही डाउनलोड करू शकणारे कोणतेही सॉफ्टवेअर व्हायरस, वर्म्स, ट्रोजन हॉर्स, दोष, डेट बॉम्ब, टाईम बॉम्ब आणि इतर किंवा इतर संगणक प्रोग्रामिंग दिनचर्यापासून मुक्त आहेत याची खात्री करण्यासाठी आवश्यक ती खबरदारी घेणे केवळ तुमच्यावर अवलंबून आहे. विध्वंसक स्वभावाचे"
X. ACCESS FROM OUTSIDE INDIA,X. भारताबाहेरून प्रवेश
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.","साइट भारतात राहणाऱ्या लोकांसाठी निर्देशित केली आहे. आम्ही असे प्रतिनिधित्व करत नाही की साइटवर किंवा त्याद्वारे उपलब्ध असलेली सामग्री योग्य आहे किंवा इतर ठिकाणी उपलब्ध आहे. आम्ही साइट किंवा साइटवर वर्णन केलेल्या कोणत्याही सेवा किंवा उत्पादनाची उपलब्धता कोणत्याही व्यक्ती किंवा भौगोलिक क्षेत्रासाठी कोणत्याही वेळी मर्यादित करू शकतो. तुम्ही भारताबाहेरून साइटवर प्रवेश करणे निवडल्यास, तुम्ही ते तुमच्या स्वत:च्या जोखमीवर करता."
XI. VIOLATION OF THESE TERMS,XI. या अटींचे उल्लंघन
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","आम्ही साइटच्या अनधिकृत वापरासह या अटींच्या कोणत्याही उल्लंघनाची चौकशी करू शकतो. तुमच्यावरील कोणत्याही तपासात किंवा खटला चालवण्यात मदत करण्यासाठी तुमच्या व्यवहारांशी संबंधित तुम्ही आम्हाला प्रदान केलेली माहिती आम्ही कायद्याची अंमलबजावणी करू शकतो. आम्हाला योग्य वाटेल अशी कायदेशीर कारवाई आम्ही करू शकतो. आपण या अटींचे किंवा कायद्याचे किंवा इतर कोणत्याही कारणास्तव किंवा विनाकारण उल्लंघन केले आहे असे आम्ही निर्धारित केल्यास, आम्ही तुमचे खाते अवरोधित करू आणि तुम्हाला सूचना न देता कधीही साइटवर प्रवेश करण्यापासून प्रतिबंधित करू."
XII. RE-DISTRIBUTION,XII. पुनर्वितरण
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","अधिकृत संस्था एपीआय/नो-कोड वेबपेज इंटिग्रेशनद्वारे ऍक्सेस करू शकतील असा कोणताही डेटा पुन्हा वितरित करणार नाहीत आणि अशा सर्व डेटाचे एकत्रीकरण अनिवार्यपणे पोषण ट्रॅकरद्वारे प्रदान केलेल्या विशिष्ट सेवांपुरते मर्यादित असेल याची खात्री करतील. कोणत्याही परिस्थितीत, एखादी संस्था सरकारच्या पोषण अभियानाचा भाग म्हणून संकलित केलेल्या डेटाचा वापर येथे नमूद केलेल्या उद्दिष्टांव्यतिरिक्त आणि सरकारच्या परवानगीनुसार इतर कोणत्याही कारणांसाठी करू शकत नाही."
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE","XIII. कायद्याचे पालन, तृतीय पक्षाचे अधिकार आणि इतर सेवा अटी"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.","अधिकृत संस्था भारत सरकारने स्थापित केलेले सर्व लागू कायदे, नियमन, धोरणे आणि तृतीय-पक्ष अधिकारांचे पालन करतील (यासह आणि मर्यादेशिवाय, डेटा किंवा सॉफ्टवेअरची आयात किंवा निर्यात, गोपनीयता आणि स्थानिक कायद्यांबाबतचे कोणतेही कायदे). पॉशन ट्रॅकरसह या अटींसह बेकायदेशीर क्रियाकलाप किंवा तृतीय-पक्ष अधिकारांचे उल्लंघन करण्यास प्रोत्साहन देण्यासाठी या संस्था एपीआय/ नो-कोड वेबपृष्ठ एकत्रीकरण वापरणार नाहीत."
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,XIV. तृतीय पक्ष प्रणालीद्वारे प्रदान केलेल्या डेटाची शुद्धता
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",पॉशन ट्रॅकरकडून डेटा गोळा करणारे आणि वापरकर्त्यांना दाखवणारे एएसपी अशा डेटाच्या अचूकतेसाठी पूर्णपणे जबाबदार असतील आणि अशा प्रकारे प्रदान केलेल्या कोणत्याही डेटामुळे उद्भवणारे कोणतेही दायित्व अशा तृतीय पक्षाकडे पूर्णत: विश्रांती घेतील. कोणत्याही चुकीच्या डेटामुळे उद्भवलेल्या कोणत्याही दिवाणी किंवा फौजदारी दायित्वे केवळ संबंधित एएसपीकडेच राहतील.
XV. INDEMNITY AND LIMITATION OF LIABILITY,XV. नुकसानभरपाई आणि दायित्वाची मर्यादा
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:","तुम्ही निरुपद्रवी पोषण ट्रॅकर आणि त्याचे सहयोगी, त्याचे अधिकारी, संचालक, कर्मचारी आणि एजंट, कोणत्याही आणि सर्व दावे, नुकसान, दायित्वे, नुकसान, दायित्वे, खर्च किंवा कर्ज, आणि खर्च यासह परंतु मर्यादित नसलेल्या खर्चाचा बचाव, नुकसानभरपाई आणि धारण करण्यास सहमती देता. कोणत्याही आरोप किंवा तृतीय-पक्ष कायदेशीर कार्यवाहीशी संबंधित वकील शुल्क:"
Your use of and access to the Site and Service;,साइट आणि सेवेचा तुमचा वापर आणि प्रवेश;
Your violation of any term of this Agreement;,या कराराच्या कोणत्याही अटींचे तुमचे उल्लंघन;
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or","कोणत्याही तृतीय पक्षाच्या अधिकाराचे तुमचे उल्लंघन, ज्यामध्ये मर्यादांशिवाय, कोणतेही कॉपीराइट, मालमत्ता किंवा गोपनीयता अधिकार यांचा समावेश आहे; किंवा"
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,तुमच्या वापरकर्ता सामग्रीमुळे तृतीय पक्षाचे नुकसान झाल्याचा कोणताही दावा. हे संरक्षण आणि नुकसानभरपाईचे दायित्व हा करार आणि तुमचा सेवा आणि वेबसाइट/अ‍ॅपचा वापर टिकून राहील.
XVI. JURISDICTION,XVI. अधिकार क्षेत्र
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,तुमचा साइटचा वापर आणि साइटच्या अशा वापरामुळे उद्भवणारा कोणताही विवाद भारताच्या कायद्यांच्या अधीन आहे आणि अधिकार क्षेत्र नवी दिल्ली असेल.
20 December 2021,20 डिसेंबर 2021
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान हा तंत्रज्ञान, लक्ष्यित दृष्टीकोन आणि अभिसरणाचा लाभ घेऊन बालके, किशोरवयीन, गर्भवती महिला आणि स्तनदा माता यांच्यासाठी पोषणविषयक परिणाम सुधारण्यासाठी भारताचा प्रमुख कार्यक्रम आहे."
"Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign. References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”","पोषण ट्रॅकर पोर्टल किंवा ॲप भारत सरकारच्या महिला आणि बाल विकास मंत्रालयाद्वारे नियंत्रित केले जाते, यापुढे “एमडब्ल्यूसीडी”, “आमचे”, “आम्ही”, “आम्ही” म्हणून संबोधले जाईल ज्यामध्ये इतर विभाग आणि विभागांचा संदर्भ समाविष्ट असेल कार्यक्रम/मोहिम. या धोरणातील पोषण ट्रॅकर पोर्टल किंवा ॲपच्या संदर्भांमध्ये पोषण ट्रॅकर किंवा पोषण ट्रॅकर सोबत एपीआयस्/संबंधित साइट्स, ॲप्स, कम्युनिकेशन्स आणि सेवा (सेवा) द्वारे एकत्रित केलेले पोषण ट्रॅकर किंवा इतर कोणतेही ॲप्स किंवा पोर्टल समाविष्ट आहेत. प्रणाली.”"
"Our Privacy Policy applies when you use our Services (described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is MWCD.","तुम्ही आमच्या सेवा वापरता तेव्हा आमचे गोपनीयता धोरण लागू होते (खाली वर्णन केलेले). आम्ही कोणती माहिती गोळा करतो, ती का गोळा करतो आणि ती कशी वापरली आणि शेअर केली जाते हे समजून घेण्यास मदत करण्यासाठी हे गोपनीयता धोरण आहे. तुमची माहिती गोळा करणारी आणि ठेवणारी एजन्सी एमडब्ल्यूसीडी आहे."
