en,ta
1.3. Information from third parties.,1.3. மூன்றாம் தரப்பினரிடமிருந்து தகவல்.
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","உங்கள் தனிப்பட்ட தகவல்களைச் சேகரிக்கக்கூடிய மூன்றாம் தரப்பு தளங்களுக்கு எங்கள் அமைப்பு API ஐ வழங்குகிறது. அத்தகைய தகவல் அல்லது அவர்களின் தனியுரிமை நடைமுறைகள் அல்லது அந்த மூன்றாம் தரப்பு தளங்களின் உள்ளடக்கத்திற்கு போஷன் டிராக்கர் எந்த வகையிலும் பொறுப்பாக இல்லை. கூடுதலாக, மூன்றாம் தரப்பு தளங்களின் சில பக்கங்களில் ""குக்கீகள்"" அல்லது பிற ஒத்த சாதனங்களையும் நீங்கள் சந்திக்கலாம், மேலும் இந்த மூன்றாம் தரப்பு தளங்கள் குக்கீகளைப் பயன்படுத்துவதை கணினி கட்டுப்படுத்தாது என்பதை போஷன் டிராக்கர் மூலம் தெளிவுபடுத்துகிறது. இந்த மூன்றாம் தரப்பு சேவை வழங்குநர்கள் மற்றும் மூன்றாம் தரப்பு தளங்கள் நீங்கள் உட்பட்ட உங்கள் தகவலைச் சேமித்து வைத்திருத்தல் ஆகியவற்றை நிர்வகிக்கும் தங்கள் தனியுரிமைக் கொள்கைகளைக் கொண்டிருக்கலாம். இந்தத் தனியுரிமைக் கொள்கையானது, இந்த மூன்றாம் தரப்பு வழங்குநர்கள் மற்றும் மூன்றாம் தரப்பு தளங்களுக்கு வழங்கப்படும், சேமித்து வைத்திருக்கும் அல்லது பயன்படுத்தப்படும் எந்தத் தகவலையும் நிர்வகிக்காது. நீங்கள் மூன்றாம் தரப்பு தளத்தை உள்ளிடும்போது, உங்கள் தகவலைப் பாதுகாப்பது தொடர்பான மூன்றாம் தரப்பு தளத்தின் தனியுரிமைக் கொள்கையை மதிப்பாய்வு செய்யுமாறு பரிந்துரைக்கிறோம். தேடல் முடிவுகளிலோ அல்லது எந்த மூன்றாம் தரப்பு தளங்களிலோ வெளியிடப்படும் தகவல்களுக்கு போஷன் டிராக்கர் பொறுப்பேற்காது என்பதை நீங்கள் ஒப்புக்கொள்கிறீர்கள்."
2. HOW WE USE PERSONAL INFORMATION,2. தனிப்பட்ட தகவலை நாங்கள் எவ்வாறு பயன்படுத்துகிறோம்
We use the information we collect from all our services for the following purposes:,எங்கள் எல்லா சேவைகளிலிருந்தும் நாங்கள் சேகரிக்கும் தகவலை பின்வரும் நோக்கங்களுக்காகப் பயன்படுத்துகிறோம்:
2.1. Deliver our services.,2.1. எங்கள் சேவைகளை வழங்கவும்.
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","பிரிவு 1-ன் கீழ் சேகரிக்கப்பட்ட தகவல்கள், பயனாளிகளின் ஆரோக்கியத்தை எளிதாக்கும் நோக்கத்திற்காகப் பயன்படுத்தப்படும்."
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","கணினியின் தகவல்/தரவு/ பொருட்கள் மற்றும் உள்ளடக்கங்களை புதுப்பித்தல், பாதுகாத்தல் மற்றும் சரிசெய்தல் மற்றும் ஆதரவை வழங்குதல் உள்ளிட்ட எங்கள் தயாரிப்புகளை நாங்கள் வழங்குகிறோம்."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","நீங்கள் போஷன் டிராக்கர் இல் பதிவு செய்யும் போது, நீங்கள் பதிவு செய்த மொபைல் எண், தரவுத்தளத்திலிருந்து உங்கள் பதிவைக் கண்டறிய பயன்படுத்தப்படும். போஷன் டிராக்கர் அமைப்பில் பதிவு செய்யப்பட்டுள்ள சுகாதார நிலையை மதிப்பிடவும் இவை பயன்படுத்தப்படலாம்."
2.2. Communicate with you.,2.2. உங்களுடன் தொடர்பு கொள்ளுங்கள்.
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","பதிவுசெய்தல் குறித்து உங்களை எச்சரிக்க உங்கள் பதிவு செய்யப்பட்ட மொபைல் எண்ணுக்கு SMS அனுப்புகிறோம், நீங்கள் எங்களைத் தொடர்புகொள்ளும்போது உங்களுக்குப் பதிலளிக்கவும், புகார்களை விசாரிக்கவும், பிரச்னைகளைத் தீர்க்கவும், சேவைச் சிக்கல்களுக்கு (எ.கா. பிழைகள்) உங்கள் தகவலைப் பயன்படுத்துகிறோம்."
2.3. Verification.,2.3. சரிபார்ப்பு.
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.","கணக்குகளைச் சரிபார்க்க எங்களிடம் உள்ள தகவலைப் பயன்படுத்துகிறோம். போஷன் டிராக்கர் கட்டுப்பாடு, பதிலளிப்பு நோக்கங்களுக்காக மற்றும் சுகாதார நிலையை சரிபார்ப்பதற்காக பதிவுகள் பயன்படுத்தப்படலாம்."
2.4. Security and Audit.,2.4. பாதுகாப்பு மற்றும் தணிக்கை.
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","பாதுகாப்பு நோக்கங்களுக்காக அல்லது சாத்தியமான மோசடி அல்லது எங்கள் சேவை விதிமுறைகளின் பிற மீறல்கள் மற்றும் எங்கள் உறுப்பினர்கள், பார்வையாளர்கள் அல்லது பிறருக்கு தீங்கு விளைவிக்கும் முயற்சிகளைத் தடுக்க அல்லது விசாரிக்க உங்கள் தரவை (உங்கள் தகவல்தொடர்புகள் உட்பட) பயன்படுத்துகிறோம்."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.","போஷன் டிராக்கர் அமைப்பு, அமைப்பின் பாதுகாப்பு மற்றும் அளவிடுதல் ஆகியவற்றிற்காக, MWCD ஆல் ஈடுபட்டுள்ள தணிக்கையாளர்களால் தொடர்ந்து தணிக்கை செய்யப்படுகிறது. அத்தகைய தணிக்கைகளுக்கு பதிவுகள் பயன்படுத்தப்படலாம்."
2.5. Research and operational activities.,2.5. ஆராய்ச்சி மற்றும் செயல்பாட்டு நடவடிக்கைகள்.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","எங்கள் சேவைகளை இயக்கவும் தரவைப் பயன்படுத்துகிறோம், இதில் எங்கள் செயல்திறனைப் பகுப்பாய்வு செய்தல், எங்கள் சட்டப்பூர்வ கடமைகளை நிறைவேற்றுதல், எங்கள் பணியாளர்களை மேம்படுத்துதல் மற்றும் ஆராய்ச்சி செய்தல் ஆகியவை அடங்கும். சிஸ்டத்தை மேம்படுத்துவதற்கும், தற்செயலான அல்லது துணைச் செயல்களுக்கும், புதிய தொழில்நுட்பங்கள் மற்றும் சேவைகளை உருவாக்குவதற்கும், வழங்குவதற்கும் தேவையான சில செயல்பாடுகளைச் செய்வதற்கும் நாங்கள் தகவலைப் பயன்படுத்தலாம்."
2.6. Surveys and Feedbacks.,2.6. ஆய்வுகள் மற்றும் கருத்துகள்.
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","கணினி செயல்திறன் மற்றும் அனுபவம் பற்றிய கருத்துக்களையும் கணினி எடுத்துக்கொள்கிறது. இந்த நோக்கங்களுக்காக பெயர், மொபைல் எண், பதிவு செய்யப்பட்ட தேதி மற்றும் சுகாதார நிலை பற்றிய தகவல்கள் பயன்படுத்தப்படலாம்"
3. SHARING OF INFORMATION,3. தகவல் பகிர்வு
3.1. Tracking health progress.,3.1. சுகாதார முன்னேற்றத்தைக் கண்காணித்தல்.
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.","மேலே உள்ள பிரிவு 1 இன் கீழ் பதிவு செய்யும் போது உங்களிடமிருந்து சேகரிக்கப்பட்ட தனிப்பட்ட தகவல்கள் பாதுகாப்பாக சேமிக்கப்படும், மேலும் அவை இந்திய அரசு அல்லது மாநில அரசுகளால் சுகாதார முன்னேற்றம் மற்றும் நிலையை கண்காணிக்கும் நோக்கத்திற்காக மட்டுமே பயன்படுத்தப்படும், அறிக்கைகள் உருவாக்குதல், வெப்ப வரைபடங்கள், காட்சிப்படுத்தல்கள் மற்றும் பிற புள்ளிவிவரங்கள் நாட்டில் போஷன் டிராக்கரின் நிர்வாகத்தின் நோக்கத்திற்காக பயன்படுத்தப்படும். மேலே உள்ள பிரிவு 1 இன் படி SMS மூலம் உங்களுடன் தொடர்புகொள்வதற்காக உங்கள் குறிப்பு ஐடி (மொபைல் எண்) உங்கள் தனிப்பட்ட தகவலுடன் மட்டுமே தொடர்புடையதாக இருக்கும்."
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:","அத்தகைய வெளிப்படுத்தல் அல்லது பரிமாற்றம் இல்லாதவரை, உங்கள் அனுமதியின்றி வேறு எந்த மூன்றாம் தரப்பினருக்கும் உங்கள் தகவலை வெளியிடவோ அல்லது மாற்றவோ மாட்டோம்:"
1. Required in order to comply with any applicable law or court order or direction; or,1. பொருந்தக்கூடிய சட்டம் அல்லது நீதிமன்ற உத்தரவு அல்லது வழிகாட்டுதலுக்கு இணங்குவதற்குத் தேவை; அல்லது
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","2. ஏதேனும் குற்றங்கள் அல்லது சம்பவங்களின் அடையாளச் சரிபார்ப்பு, தடுத்தல், கண்டறிதல், விசாரணை, வழக்குத் தொடுத்தல் அல்லது தண்டனை போன்றவற்றின் நோக்கத்திற்காக, பொருந்தக்கூடிய சட்டத்தின்படி ஏதேனும் பொருத்தமான அரசு நிறுவனத்தால் கோரப்பட்டது."
3.2. Legal Disclosures.,3.2. சட்ட வெளிப்பாடுகள்.
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","சட்டக் கோரிக்கை, சப்போனா அல்லது பிற சட்டச் செயல்முறைகளுக்குப் பதிலளிக்கும் வகையில் உங்கள் தகவலை நாங்கள் அணுகலாம், பாதுகாத்துப் பகிரலாம் அல்லது (1) மோசடி அல்லது சட்டவிரோத நடவடிக்கைகள் குறித்து விசாரணை, தடுக்க அல்லது நடவடிக்கை எடுப்பதற்கு வெளிப்படுத்துதல் நியாயமானதே அவசியம் என்று எங்களுக்கு நல்ல நம்பிக்கை இருந்தால் அல்லது அரசாங்க அமலாக்க நிறுவனங்களுக்கு உதவுதல்; (2) உங்களுடன் எங்கள் ஒப்பந்தங்களைச் செயல்படுத்துதல்; (3) எந்த மூன்றாம் தரப்பு உரிமைகோரல்கள் அல்லது குற்றச்சாட்டுகளுக்கு எதிராக நம்மை நாமே விசாரித்து பாதுகாத்துக்கொள்ளவும்; (4) எங்கள் சேவைகளின் பாதுகாப்பு அல்லது ஒருமைப்பாட்டைப் பாதுகாத்தல் (அத்தகைய அச்சுறுத்தல்களை எதிர்கொள்ளும் நிறுவனங்களுடன் பகிர்ந்து கொள்வது போன்றவை); அல்லது (5) எந்தவொரு நபரின் உரிமைகள் மற்றும் பாதுகாப்பைப் பயன்படுத்துதல் அல்லது பாதுகாத்தல்."
4. RETENTION,4. தக்கவைத்தல்
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","பதிவு செய்யும் போது பிரிவு 1ன் கீழ் உங்களிடமிருந்து சேகரிக்கப்பட்ட அனைத்து தனிப்பட்ட தகவல்களும் உங்கள் பதிவு இருக்கும் வரையில் சேமிக்கப்படும் மற்றும் ஏதேனும் மருத்துவ அல்லது நிர்வாகத் தலையீடுகள் கீழே உள்ள உட்பிரிவு 4(b) க்கு உட்பட்டு பிரிவு 2ன் கீழ் தொடங்கப்பட்டிருந்தால், அத்தகைய தலையீடுகள் முடிக்கப்படுவதற்கு தேவையான கால அவகாசம் எடுக்கப்படும்."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","உட்பிரிவு 1ன் கீழ் சேகரிக்கப்பட்ட அனைத்து தனிப்பட்ட தகவல்களும், நிகழ்வுக்காகப் பதிவுசெய்யப்பட்ட நபர்களுடன் தொடர்புடைய தகவல்களின் அளவிற்கு, பயன்பாட்டு சேவையகத்தில் சேமிக்கப்படும்."
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","போஷன் டிராக்கர் இன் பதிவுசெய்யப்பட்ட பயனர்களின் தனிப்பட்ட தரவு அல்லது அத்தகைய தரவுத்தொகுப்புகளைப் பயன்படுத்தி உருவாக்கப்பட்ட அறிக்கைகள், வெப்ப வரைபடங்கள் அல்லது பிற காட்சிப்படுத்தல் மூலம் உருவாக்கப்பட்ட அநாமதேய, ஒருங்கிணைந்த தரவுத்தொகுப்புகளுக்கு இங்கு குறிப்பிடப்பட்டுள்ள எதுவும் பொருந்தாது."
5. RIGHTS,5. உரிமைகள்
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","பதிவுசெய்யப்பட்ட பயனராக, எந்த நேரத்திலும் உங்கள் சுயவிவரத்தை அணுக உங்களுக்கு உரிமை உள்ளது. இருப்பினும், போஷன் டிராக்கர் அமைப்பால் அவ்வப்போது பரிந்துரைக்கப்பட்ட மாற்றங்களை மட்டுமே செய்ய முடியும்."
You cannot manage the communications that you receive from us or how you receive them.,எங்களிடமிருந்து நீங்கள் பெறும் தகவல்தொடர்புகளையோ அல்லது அவற்றை எவ்வாறு பெறுகிறீர்கள் என்பதையோ உங்களால் நிர்வகிக்க முடியாது.
6. DATA SECURITY,6. தரவு பாதுகாப்பு
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","போஷன் டிராக்கர் பிளாட்ஃபார்ம் உங்கள் தனியுரிமை மற்றும் தனிப்பட்ட தகவல்களை இழப்பு, தவறாகப் பயன்படுத்துதல், அங்கீகரிக்கப்படாத அணுகல், வெளிப்படுத்துதல், அழித்தல் மற்றும் பொருந்தக்கூடிய சட்டங்களுக்கு இணங்க தகவல்களை மாற்றுதல் ஆகியவற்றிலிருந்து பாதுகாக்க நியாயமான பாதுகாப்பு நடவடிக்கைகள் மற்றும் பாதுகாப்புகளைக் கொண்டுள்ளது. மேலும், சிஸ்டத்தில் உங்கள் கணக்கை மாற்றும்போதோ அல்லது அணுகும்போதோ அல்லது அது தொடர்பான எந்தத் தகவலுக்கும், நாங்கள் பாதுகாப்பான சர்வரைப் பயன்படுத்துகிறோம். நீங்கள் கணினியை (நேரடியாகவோ அல்லது மறைமுகமாகவோ) அணுகும் மற்றும்/அல்லது பயன்படுத்தும் வரை, உங்கள் முடிவில் போதுமான உடல், மேலாண்மை மற்றும் தொழில்நுட்ப பாதுகாப்புகளை நீங்கள் எப்போதும் எடுத்துக்கொள்வதை உறுதிசெய்யும் கடமை உங்களுக்கு உள்ளது என்பது மேலும் தெளிவுபடுத்தப்படுகிறது., உங்கள் தரவின் ஒருமைப்பாடு மற்றும் பாதுகாப்பைப் பாதுகாக்க, அதில் உங்கள் தனிப்பட்ட தகவல்கள் அடங்கும் மற்றும் மட்டுப்படுத்தப்படவில்லை."
7. CHANGES TO PRIVACY POLICY,7. தனியுரிமைக் கொள்கையில் மாற்றங்கள்
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You should review this Privacy Policy regularly for changes.","போஷன் டிராக்கர் இந்த தனியுரிமைக் கொள்கையின் எந்தப் பகுதியையும், எந்த நேரத்திலும், அத்தகைய மாற்றங்களைப் பற்றி உங்களுக்குத் தெரிவிக்காமல், எந்த நேரத்திலும் மாற்ற, மாற்ற, சேர்க்க அல்லது அகற்ற நிபந்தனையற்ற உரிமையைப் பெற்றுள்ளார். ஏதேனும் மாற்றங்கள் அல்லது புதுப்பிப்புகள் செய்யப்பட்டால் அவை உடனடியாக நடைமுறைக்கு வரும். மாற்றங்களுக்கு இந்த தனியுரிமைக் கொள்கையை நீங்கள் தொடர்ந்து மதிப்பாய்வு செய்ய வேண்டும்."
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System. However, as a user of the System, you should regularly check the Privacy Policy for any changes. We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy. Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy. If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System. You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","இந்த தனியுரிமைக் கொள்கையில் ஏதேனும் பொருள் மாற்றங்கள் இருந்தால், சிஸ்டத்தில் அறிவிப்பு மூலம் அனைத்துப் பயனர்களுக்கும் பொதுவாகத் தெரிவிக்க வணிக ரீதியாக நியாயமான முயற்சிகளைப் பயன்படுத்துவோம். இருப்பினும், கணினியின் பயனராக, ஏதேனும் மாற்றங்கள் இருந்தால் தனியுரிமைக் கொள்கையை நீங்கள் தொடர்ந்து சரிபார்க்க வேண்டும். இந்தத் தனியுரிமைக் கொள்கையின் மேலே உள்ள ""கடைசியாகப் புதுப்பிக்கப்பட்ட"" தேதியையும் நாங்கள் புதுப்பிப்போம், இது இந்தத் தனியுரிமைக் கொள்கையின் நடைமுறைத் தேதியைப் பிரதிபலிக்கிறது. புதிய தனியுரிமைக் கொள்கையின் தேதிக்குப் பிறகு உங்கள் தொடர்ச்சியான அணுகல் அல்லது கணினியைப் பயன்படுத்துவது புதிய தனியுரிமைக் கொள்கையை நீங்கள் ஏற்றுக்கொள்வதைக் குறிக்கிறது. புதிய தனியுரிமைக் கொள்கையை நீங்கள் ஏற்கவில்லை என்றால், நீங்கள் கணினியை அணுகுவதையும்/அல்லது பயன்படுத்துவதையும் நிறுத்த வேண்டும். எந்தவொரு சேகரிப்பு, சேமிப்பகம், செயலாக்கம் அல்லது உங்கள் தகவலின் பிற பயன்பாடு, அத்தகைய சேகரிப்பு, சேமிப்பகம், செயலாக்கம் அல்லது பிற பயன்பாட்டின் போது பொருந்தக்கூடிய தனியுரிமைக் கொள்கையால் நிர்வகிக்கப்படும் என்பதை நீங்கள் இதன்மூலம் ஒப்புக்கொள்கிறீர்கள்."
Careers At Poshan Tracker,போஷன் டிராக்கரில் வேலை
We believe in building doers. Poshan Tracker is a project of Ministry of Women and Child Development. Digital India Corporation is the technical partner of MoWCD. Poshan Tracker focuses on eradication of malnutrition from India. It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan.,"செயல்புரிபவர்களை உருவாக்குவதில் நாங்கள் நம்பிக்கை கொண்டுள்ளோம் போஷன் டிராக்கர் மகளிர் மற்றும் சிறுவர் முன்னேற்ற அமைச்சகத்தின் திட்டமாகும் டிஜிடல் இந்தியா கார்ப்பரேஷன் MoWCD.-இன் தொழில்நுட்பக் கூட்டாளியாகும் இந்தியாவிலுருந்து ஊட்டச்சத்துக் குறைவை அறவே ஒழிப்பதில் போஷன் டிராக்கர் கவனம் செலுத்துகிறது. அது போஷன் அபியானின் கீழ் சேவை வழங்குதலைக் கண்காணிப்பதற்கும், மேன்மைப்படுத்தவதற்குமான ஒரு மெகானிசமாகச் செயல்படுகிறது.."
Job openings,நிரப்பப்பட உள்ள பணியிடங்கள்
Video Conference,வீடியோ மாநாடு
Monday to Friday,திங்கள் முதல் வெள்ளி வரை
Book VC,புத்தகம் வி.சி.
Get In Touch,தொடர்பில் இருங்கள்
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","பெண்கள் மற்றும் குழந்தைகள் மேம்பாட்டு அமைச்சகம், இந்திய அரசு, சாஸ்திரி பவன், புது தில்லி"
